District	HASC	Code	Population	Capital	Former
Gizab	AF.DK.GI	3402	54,168		OZ
Gomal	AF.PK.GO	2906	6,366		
Gosfandi	AF.SP.GO	3107			Sayyad
Goshta	AF.NG.GO	0816	14,351		
Guldara	AF.KB.GD	0113	24,171		
Gulistan	AF.FH.GU	2103	23,091		
Gulran	AF.HR.GL	2007	48,557		
Gurbuz	AF.KT.GU	3211	13,488		
Gurziwan	AF.FB.DR	1807	(54,600)	Darzab	Bilchiragh
Guzara	AF.HR.GZ	2003	109,738		
Guzargahi Nur	AF.BL.GN	1315	(7,200)		Khost wa Firing
Hazar Sumuch	AF.TK.HS	1215	(13,600)		Taluqan
Hazrati Sultan	AF.SM.HS	1502	33,990		
Hirat	AF.HR.HI	2001	238,144		
Hisa-i-Awali Bihsud	AF.VR.HB	0403	36,903		
Hisa-i-Awali Panjsher	AF.PJ.HA	3303	47,046		
Hisa-i-Duwumi Kohistan	AF.KP.PJ	0207	(32,600)		Kohistan
Hisarak	AF.NG.HI	0803	23,199		
Imam Sahib	AF.KZ.HI	1402	182,466	Hazrati Imam	
Injil	AF.HR.IN	2002	197,680		
Ishkamish	AF.TK.IS	1203	46,938		
Ishkashim	AF.BD.IK	1107	10,467		
Ishtarlay	AF.DK.IS	3403			Daykundi, OZ
Istalif	AF.KB.IS	0106	39,709		
Jabalussaraj	AF.PV.JA	0302	101,861		
Jadran	AF.PT.JD	0704	21,581		
Jaghatu	AF.VR.JG	0409	63,124		GZ
Jaghuri	AF.GZ.JR	0607	142,541	Sange Masha	
Jaji	AF.PT.JJ	0723	44,241		
Jaji Maydan	AF.KT.JM	3202	17,912		
Jalal Abad	AF.NG.JA	0801	177,502		
Jalrez	AF.VR.JL	0402	43,485		
Jani Khel	AF.PK.JK	2916	(20,000)		Zarghun Shahr
Jani Khel	AF.PT.JK	0716	18,020		
Jawand	AF.BG.JA	1904	53,089		
Jurm	AF.BD.JU	1103	76,072		
Kabul	AF.KB.KB	0101	2,306,125		
Kahmard	AF.BM.KA	2803	46,507		BL
Kajaki	AF.HM.KA	2303	59,131		
Kajran	AF.DK.KA	3404	56,650		OZ
Kakar	AF.ZB.KA	2510	(20,200)		Arghandab
Kalafgan	AF.TK.KA	1207	30,753		
Kalakan	AF.KB.KL	0104	32,695		
Kaldar	AF.BK.KA	1613	15,646		
Kama	AF.NG.KA	0818	76,396		
Kamdesh	AF.NR.KA	3002	13,272		
Kandahar	AF.KD.KA	2401	445,104		
Kang	AF.NM.KA	2202	23,955		
Karukh	AF.HR.KA	2005	46,507		
Khadir	AF.DK.KH	3405			Daykundi, OZ
Khaki Jabbar	AF.KB.KJ	0111	16,725		
Khaki Safed	AF.FH.KS	2106	16,725		
Khakrez	AF.KD.KH	2405	18,883		
Khamyab	AF.JW.KM	1709	10,575		
Khan Abad	AF.KZ.KA	1406	148,584		
Khani Chahar Bagh	AF.FB.KC	1811	21,905		
Khaniqa	AF.JW.KN	1710			Aqcha
Kharwar	AF.LW.KW	0507	(16,700)		Charkh
Khash	AF.BD.KH	1118	(49,000)		Jurm
Khash Rod	AF.NM.KR	2205	18,559		
Khas Kunar	AF.KR.KK	1015	26,760		
Khas Uruzgan	AF.OZ.KU	2603	56,758	Uruzgan	
Khinjan	AF.BL.KH	1306	24,171		
Khogyani	AF.NG.KH	0805	106,609		
Khost	AF.KT.KH	3201	70,246		
Khost wa Firing	AF.BL.KF	1308	48,017		
Khulm	AF.BK.KH	1614	73,914		
Khuram wa Sarbagh	AF.SM.KS	1506	35,824		
Khushi	AF.LW.KH	0504	25,142		
Khwahan	AF.BD.KW	1111	13,488		
Khwaja Bahawuddin	AF.TK.KB	1216	(11,800)		Yangi Qala
Khwaja Du Koh	AF.JW.KO	1702	26,221		
Khwaja Ghar	AF.TK.KG	1212	66,253		
Khwaja Hijran	AF.BL.KW	1316	(14,200)		Andarab
Khwaja Sabz Posh	AF.FB.KS	1813	84,813		
Khwaja Umari	AF.GZ.KO	0603	(14,100)		Bahram, Waeez Shahid
Kishim	AF.BD.KI	1102	84,920		
Kishindih	AF.BK.KI	1610	61,397		
Kiti	AF.DK.KI	3406			Kajran, OZ
Koh Band	AF.KP.KB	0203	19,423		
Kohi Safi	AF.PV.KS	0309	16,833		
Kohistan	AF.BD.KS	1119	(12,100)		Baharak
Kohistan	AF.FB.KO	1805	37,659		
Kohistan	AF.KP.PA	0202	99,164		
Kohistanat	AF.SP.KO	3103	61,397		
Kohsan	AF.HR.KN	2008	32,479	Kuhestan	
Kot	AF.NG.KO	0822	(35,400)		Rodat
Kuf Ab	AF.BD.KA	1120	(16,400)		Khwahan
Kunduz	AF.KZ.KU	1401	240,734		
Kuran wa Munjan	AF.BD.KM	1104	8,093		
Kushk	AF.HR.KU	2006	70,461		
Kushki Kuhna	AF.HR.KK	2016	34,529		
Kuz Kunar	AF.NG.KK	0819	49,528		
Lal Pur	AF.NG.LP	0815	14,999		
Lal wa Sarjangal	AF.GR.LS	2707	94,200		
Lashkar Gah	AF.HM.LA	2301	82,115		
Lash wa Juwayn	AF.FH.LJ	2109	26,436		
Lija Mangal	AF.PT.LM	0719	23,523		Lazha Ahmad Khel
Mahmud Raqi	AF.KP.MR	0201	58,376		
Malistan	AF.GZ.MA	0606	65,282		
Mandol	AF.NR.MA	3004	22,984		
Mando Zayi	AF.KT.MZ	3206	33,234		
Marawara	AF.KR.MA	1002	16,941		
Mardyan	AF.JW.MA	1707	38,414		
Markazi Bihsud	AF.VR.MB	0404	105,206		
Marmul	AF.BK.MM	1615	9,711		
Maruf	AF.KD.MR	2413	27,408	Khugyanay	
Mata Khan	AF.PK.MK	2915	20,718		
Maydan Shahr	AF.VR.MS	0401	32,047		
Maymana	AF.FB.MA	1801	56,973		
Maywand	AF.KD.MY	2407	55,463		
Mazari Sharif	AF.BK.MS	1601	175,344		
Mihtarlam	AF.LA.MI	0901	115,565		
Mingajik	AF.JW.MI	1704	40,356		
Miramor	AF.DK.MI	3407			Shahristan, OZ
Mir Bacha Kot	AF.KB.MK	0103	55,139		
Miya Nishin	AF.KD.MN	2414	(12,600)		Shah Wali Kot
Mizan	AF.ZB.MI	2505	11,330		
Muhammad Agha	AF.LW.MA	0505	67,116		
Muhmand Dara	AF.NG.MD	0814	32,911	Batsawul	
Muqur	AF.BG.MQ	1907	19,099		
Muqur	AF.GZ.MU	0608	36,472		
Murghab	AF.BG.MR	1906	50,283		
Musa Khel	AF.KT.MK	3205	27,192		
Musa Qala	AF.HM.MQ	2304	49,096		
Musayi	AF.KB.MU	0114	20,825		
Nad Ali	AF.HM.NA	2308	97,977		
Nadir Shah Kot	AF.KT.NS	3208	16,617		
Nahrin	AF.BL.NA	1309	56,542		
Nahri Sarraj	AF.HM.NS	2302	96,466		Gerishk
Nahri Shahi	AF.BK.NS	1602	36,364		
Namak Ab	AF.TK.NA	1217	(8,800)		Taluqan
Narang	AF.KR.NB	1012	22,552	Narang wa Badil	
Nari	AF.KR.NA	1005	13,596		
Nawa	AF.GZ.NA	0610	24,710		
Nawa-i-Barak Zayi	AF.HM.NB	2309	77,043		
Naw Bahar	AF.ZB.NB	2511			Shamul Zayi, Shinkay; Nawa,GZ
Nawur	AF.GZ.NR	0604	76,072	Doabi	
Naw Zad	AF.HM.NZ	2306	42,190		
Nazyan	AF.NG.NA	0811	7,985		
Nesh	AF.KD.NE	2415	11,114		OZ
Nijrab	AF.KP.NI	0204	94,632		
Nika	AF.PK.NI	2913	10,359		
Nili	AF.DK.NI	3401			Daykundi, OZ
Nirkh	AF.VR.NI	0408	38,306		
Nurgal	AF.KR.NU	1014	27,839		
Nurgaram	AF.NR.NG	3008			Kamdesh
Nuristan	AF.NR.NU	3001	50,823		Paroon
Obe	AF.HR.OB	2012	50,391		
